city,date,aqi,pm2_5,pm10,no2,co,dominant_pollutant
Delhi,2013-02-10,313,313,,,,pm25
London,2013-02-10,38,38,16.0,49.9,3.9,pm25
New York,2013-02-10,21,21,,,,pm25
Delhi,2013-02-11,313,313,,,,pm25
London,2013-02-11,38,38,16.0,49.9,3.9,pm25
New York,2013-02-11,21,21,,,,pm25
Delhi,2013-02-12,313,313,,,,pm25
London,2013-02-12,38,38,16.0,49.9,3.9,pm25
New York,2013-02-12,21,21,,,,pm25
Delhi,2013-02-13,313,313,,,,pm25
London,2013-02-13,38,38,16.0,49.9,3.9,pm25
New York,2013-02-13,21,21,,,,pm25
Delhi,2013-02-14,313,313,,,,pm25
London,2013-02-14,38,38,16.0,49.9,3.9,pm25
New York,2013-02-14,21,21,,,,pm25
Delhi,2013-02-15,313,313,,,,pm25
London,2013-02-15,38,38,16.0,49.9,3.9,pm25
New York,2013-02-15,21,21,,,,pm25
Delhi,2013-02-16,313,313,,,,pm25
London,2013-02-16,38,38,16.0,49.9,3.9,pm25
New York,2013-02-16,21,21,,,,pm25
Delhi,2013-02-17,313,313,,,,pm25
London,2013-02-17,38,38,16.0,49.9,3.9,pm25
New York,2013-02-17,21,21,,,,pm25
Delhi,2013-02-18,313,313,,,,pm25
London,2013-02-18,38,38,16.0,49.9,3.9,pm25
New York,2013-02-18,21,21,,,,pm25
Delhi,2013-02-19,313,313,,,,pm25
London,2013-02-19,38,38,16.0,49.9,3.9,pm25
New York,2013-02-19,21,21,,,,pm25
Delhi,2013-02-20,313,313,,,,pm25
London,2013-02-20,38,38,16.0,49.9,3.9,pm25
New York,2013-02-20,21,21,,,,pm25
Delhi,2013-02-21,313,313,,,,pm25
London,2013-02-21,38,38,16.0,49.9,3.9,pm25
New York,2013-02-21,21,21,,,,pm25
Delhi,2013-02-22,313,313,,,,pm25
London,2013-02-22,38,38,16.0,49.9,3.9,pm25
New York,2013-02-22,21,21,,,,pm25
Delhi,2013-02-23,313,313,,,,pm25
London,2013-02-23,38,38,16.0,49.9,3.9,pm25
New York,2013-02-23,21,21,,,,pm25
Delhi,2013-02-24,313,313,,,,pm25
London,2013-02-24,38,38,16.0,49.9,3.9,pm25
New York,2013-02-24,21,21,,,,pm25
Delhi,2013-02-25,313,313,,,,pm25
London,2013-02-25,38,38,16.0,49.9,3.9,pm25
New York,2013-02-25,21,21,,,,pm25
Delhi,2013-02-26,313,313,,,,pm25
London,2013-02-26,38,38,16.0,49.9,3.9,pm25
New York,2013-02-26,21,21,,,,pm25
Delhi,2013-02-27,313,313,,,,pm25
London,2013-02-27,38,38,16.0,49.9,3.9,pm25
New York,2013-02-27,21,21,,,,pm25
Delhi,2013-02-28,313,313,,,,pm25
London,2013-02-28,38,38,16.0,49.9,3.9,pm25
New York,2013-02-28,21,21,,,,pm25
Delhi,2013-03-01,313,313,,,,pm25
London,2013-03-01,38,38,16.0,49.9,3.9,pm25
New York,2013-03-01,21,21,,,,pm25
Delhi,2013-03-02,313,313,,,,pm25
London,2013-03-02,38,38,16.0,49.9,3.9,pm25
New York,2013-03-02,21,21,,,,pm25
Delhi,2013-03-03,313,313,,,,pm25
London,2013-03-03,38,38,16.0,49.9,3.9,pm25
New York,2013-03-03,21,21,,,,pm25
Delhi,2013-03-04,313,313,,,,pm25
London,2013-03-04,38,38,16.0,49.9,3.9,pm25
New York,2013-03-04,21,21,,,,pm25
Delhi,2013-03-05,313,313,,,,pm25
London,2013-03-05,38,38,16.0,49.9,3.9,pm25
New York,2013-03-05,21,21,,,,pm25
Delhi,2013-03-06,313,313,,,,pm25
London,2013-03-06,38,38,16.0,49.9,3.9,pm25
New York,2013-03-06,21,21,,,,pm25
Delhi,2013-03-07,313,313,,,,pm25
London,2013-03-07,38,38,16.0,49.9,3.9,pm25
New York,2013-03-07,21,21,,,,pm25
Delhi,2013-03-08,313,313,,,,pm25
London,2013-03-08,38,38,16.0,49.9,3.9,pm25
New York,2013-03-08,21,21,,,,pm25
Delhi,2013-03-09,313,313,,,,pm25
London,2013-03-09,38,38,16.0,49.9,3.9,pm25
New York,2013-03-09,21,21,,,,pm25
Delhi,2013-03-10,313,313,,,,pm25
London,2013-03-10,38,38,16.0,49.9,3.9,pm25
New York,2013-03-10,21,21,,,,pm25
Delhi,2013-03-11,313,313,,,,pm25
London,2013-03-11,38,38,16.0,49.9,3.9,pm25
New York,2013-03-11,21,21,,,,pm25
Delhi,2013-03-12,313,313,,,,pm25
London,2013-03-12,38,38,16.0,49.9,3.9,pm25
New York,2013-03-12,21,21,,,,pm25
Delhi,2013-03-13,313,313,,,,pm25
London,2013-03-13,38,38,16.0,49.9,3.9,pm25
New York,2013-03-13,21,21,,,,pm25
Delhi,2013-03-14,313,313,,,,pm25
London,2013-03-14,38,38,16.0,49.9,3.9,pm25
New York,2013-03-14,21,21,,,,pm25
Delhi,2013-03-15,313,313,,,,pm25
London,2013-03-15,38,38,16.0,49.9,3.9,pm25
New York,2013-03-15,21,21,,,,pm25
Delhi,2013-03-16,313,313,,,,pm25
London,2013-03-16,38,38,16.0,49.9,3.9,pm25
New York,2013-03-16,21,21,,,,pm25
Delhi,2013-03-17,313,313,,,,pm25
London,2013-03-17,38,38,16.0,49.9,3.9,pm25
New York,2013-03-17,21,21,,,,pm25
Delhi,2013-03-18,313,313,,,,pm25
London,2013-03-18,38,38,16.0,49.9,3.9,pm25
New York,2013-03-18,21,21,,,,pm25
Delhi,2013-03-19,313,313,,,,pm25
London,2013-03-19,38,38,16.0,49.9,3.9,pm25
New York,2013-03-19,21,21,,,,pm25
Delhi,2013-03-20,313,313,,,,pm25
London,2013-03-20,38,38,16.0,49.9,3.9,pm25
New York,2013-03-20,21,21,,,,pm25
Delhi,2013-03-21,313,313,,,,pm25
London,2013-03-21,38,38,16.0,49.9,3.9,pm25
New York,2013-03-21,21,21,,,,pm25
Delhi,2013-03-22,313,313,,,,pm25
London,2013-03-22,38,38,16.0,49.9,3.9,pm25
New York,2013-03-22,21,21,,,,pm25
Delhi,2013-03-23,313,313,,,,pm25
London,2013-03-23,38,38,16.0,49.9,3.9,pm25
New York,2013-03-23,21,21,,,,pm25
Delhi,2013-03-24,313,313,,,,pm25
London,2013-03-24,38,38,16.0,49.9,3.9,pm25
New York,2013-03-24,21,21,,,,pm25
Delhi,2013-03-25,313,313,,,,pm25
London,2013-03-25,38,38,16.0,49.9,3.9,pm25
New York,2013-03-25,21,21,,,,pm25
Delhi,2013-03-26,313,313,,,,pm25
London,2013-03-26,38,38,16.0,49.9,3.9,pm25
New York,2013-03-26,21,21,,,,pm25
Delhi,2013-03-27,313,313,,,,pm25
London,2013-03-27,38,38,16.0,49.9,3.9,pm25
New York,2013-03-27,21,21,,,,pm25
Delhi,2013-03-28,313,313,,,,pm25
London,2013-03-28,38,38,16.0,49.9,3.9,pm25
New York,2013-03-28,21,21,,,,pm25
Delhi,2013-03-29,313,313,,,,pm25
London,2013-03-29,38,38,16.0,49.9,3.9,pm25
New York,2013-03-29,21,21,,,,pm25
Delhi,2013-03-30,313,313,,,,pm25
London,2013-03-30,38,38,16.0,49.9,3.9,pm25
New York,2013-03-30,21,21,,,,pm25
Delhi,2013-03-31,313,313,,,,pm25
London,2013-03-31,38,38,16.0,49.9,3.9,pm25
New York,2013-03-31,21,21,,,,pm25
Delhi,2013-04-01,313,313,,,,pm25
London,2013-04-01,38,38,16.0,49.9,3.9,pm25
New York,2013-04-01,21,21,,,,pm25
Delhi,2013-04-02,313,313,,,,pm25
London,2013-04-02,38,38,16.0,49.9,3.9,pm25
New York,2013-04-02,21,21,,,,pm25
Delhi,2013-04-03,313,313,,,,pm25
London,2013-04-03,38,38,16.0,49.9,3.9,pm25
New York,2013-04-03,21,21,,,,pm25
Delhi,2013-04-04,313,313,,,,pm25
London,2013-04-04,38,38,16.0,49.9,3.9,pm25
New York,2013-04-04,21,21,,,,pm25
Delhi,2013-04-05,313,313,,,,pm25
London,2013-04-05,38,38,16.0,49.9,3.9,pm25
New York,2013-04-05,21,21,,,,pm25
Delhi,2013-04-06,313,313,,,,pm25
London,2013-04-06,38,38,16.0,49.9,3.9,pm25
New York,2013-04-06,21,21,,,,pm25
Delhi,2013-04-07,313,313,,,,pm25
London,2013-04-07,38,38,16.0,49.9,3.9,pm25
New York,2013-04-07,21,21,,,,pm25
Delhi,2013-04-08,313,313,,,,pm25
London,2013-04-08,38,38,16.0,49.9,3.9,pm25
New York,2013-04-08,21,21,,,,pm25
Delhi,2013-04-09,313,313,,,,pm25
London,2013-04-09,38,38,16.0,49.9,3.9,pm25
New York,2013-04-09,21,21,,,,pm25
Delhi,2013-04-10,313,313,,,,pm25
London,2013-04-10,38,38,16.0,49.9,3.9,pm25
New York,2013-04-10,21,21,,,,pm25
Delhi,2013-04-11,313,313,,,,pm25
London,2013-04-11,38,38,16.0,49.9,3.9,pm25
New York,2013-04-11,21,21,,,,pm25
Delhi,2013-04-12,313,313,,,,pm25
London,2013-04-12,38,38,16.0,49.9,3.9,pm25
New York,2013-04-12,21,21,,,,pm25
Delhi,2013-04-13,313,313,,,,pm25
London,2013-04-13,38,38,16.0,49.9,3.9,pm25
New York,2013-04-13,21,21,,,,pm25
Delhi,2013-04-14,313,313,,,,pm25
London,2013-04-14,38,38,16.0,49.9,3.9,pm25
New York,2013-04-14,21,21,,,,pm25
Delhi,2013-04-15,313,313,,,,pm25
London,2013-04-15,38,38,16.0,49.9,3.9,pm25
New York,2013-04-15,21,21,,,,pm25
Delhi,2013-04-16,313,313,,,,pm25
London,2013-04-16,38,38,16.0,49.9,3.9,pm25
New York,2013-04-16,21,21,,,,pm25
Delhi,2013-04-17,313,313,,,,pm25
London,2013-04-17,38,38,16.0,49.9,3.9,pm25
New York,2013-04-17,21,21,,,,pm25
Delhi,2013-04-18,313,313,,,,pm25
London,2013-04-18,38,38,16.0,49.9,3.9,pm25
New York,2013-04-18,21,21,,,,pm25
Delhi,2013-04-19,313,313,,,,pm25
London,2013-04-19,38,38,16.0,49.9,3.9,pm25
New York,2013-04-19,21,21,,,,pm25
Delhi,2013-04-20,313,313,,,,pm25
London,2013-04-20,38,38,16.0,49.9,3.9,pm25
New York,2013-04-20,21,21,,,,pm25
Delhi,2013-04-21,313,313,,,,pm25
London,2013-04-21,38,38,16.0,49.9,3.9,pm25
New York,2013-04-21,21,21,,,,pm25
Delhi,2013-04-22,313,313,,,,pm25
London,2013-04-22,38,38,16.0,49.9,3.9,pm25
New York,2013-04-22,21,21,,,,pm25
Delhi,2013-04-23,313,313,,,,pm25
London,2013-04-23,38,38,16.0,49.9,3.9,pm25
New York,2013-04-23,21,21,,,,pm25
Delhi,2013-04-24,313,313,,,,pm25
London,2013-04-24,38,38,16.0,49.9,3.9,pm25
New York,2013-04-24,21,21,,,,pm25
Delhi,2013-04-25,313,313,,,,pm25
London,2013-04-25,38,38,16.0,49.9,3.9,pm25
New York,2013-04-25,21,21,,,,pm25
Delhi,2013-04-26,313,313,,,,pm25
London,2013-04-26,38,38,16.0,49.9,3.9,pm25
New York,2013-04-26,21,21,,,,pm25
Delhi,2013-04-27,313,313,,,,pm25
London,2013-04-27,38,38,16.0,49.9,3.9,pm25
New York,2013-04-27,21,21,,,,pm25
Delhi,2013-04-28,313,313,,,,pm25
London,2013-04-28,38,38,16.0,49.9,3.9,pm25
New York,2013-04-28,21,21,,,,pm25
Delhi,2013-04-29,313,313,,,,pm25
London,2013-04-29,38,38,16.0,49.9,3.9,pm25
New York,2013-04-29,21,21,,,,pm25
Delhi,2013-04-30,313,313,,,,pm25
London,2013-04-30,38,38,16.0,49.9,3.9,pm25
New York,2013-04-30,21,21,,,,pm25
Delhi,2013-05-01,313,313,,,,pm25
London,2013-05-01,38,38,16.0,49.9,3.9,pm25
New York,2013-05-01,21,21,,,,pm25
Delhi,2013-05-02,313,313,,,,pm25
London,2013-05-02,38,38,16.0,49.9,3.9,pm25
New York,2013-05-02,21,21,,,,pm25
Delhi,2013-05-03,313,313,,,,pm25
London,2013-05-03,38,38,16.0,49.9,3.9,pm25
New York,2013-05-03,21,21,,,,pm25
Delhi,2013-05-04,313,313,,,,pm25
London,2013-05-04,38,38,16.0,49.9,3.9,pm25
New York,2013-05-04,21,21,,,,pm25
Delhi,2013-05-05,313,313,,,,pm25
London,2013-05-05,38,38,16.0,49.9,3.9,pm25
New York,2013-05-05,21,21,,,,pm25
Delhi,2013-05-06,313,313,,,,pm25
London,2013-05-06,38,38,16.0,49.9,3.9,pm25
New York,2013-05-06,21,21,,,,pm25
Delhi,2013-05-07,313,313,,,,pm25
London,2013-05-07,38,38,16.0,49.9,3.9,pm25
New York,2013-05-07,21,21,,,,pm25
Delhi,2013-05-08,313,313,,,,pm25
London,2013-05-08,38,38,16.0,49.9,3.9,pm25
New York,2013-05-08,21,21,,,,pm25
Delhi,2013-05-09,313,313,,,,pm25
London,2013-05-09,38,38,16.0,49.9,3.9,pm25
New York,2013-05-09,21,21,,,,pm25
Delhi,2013-05-10,313,313,,,,pm25
London,2013-05-10,38,38,16.0,49.9,3.9,pm25
New York,2013-05-10,21,21,,,,pm25
Delhi,2013-05-11,313,313,,,,pm25
London,2013-05-11,38,38,16.0,49.9,3.9,pm25
New York,2013-05-11,21,21,,,,pm25
Delhi,2013-05-12,313,313,,,,pm25
London,2013-05-12,38,38,16.0,49.9,3.9,pm25
New York,2013-05-12,21,21,,,,pm25
Delhi,2013-05-13,313,313,,,,pm25
London,2013-05-13,38,38,16.0,49.9,3.9,pm25
New York,2013-05-13,21,21,,,,pm25
Delhi,2013-05-14,313,313,,,,pm25
London,2013-05-14,38,38,16.0,49.9,3.9,pm25
New York,2013-05-14,21,21,,,,pm25
Delhi,2013-05-15,313,313,,,,pm25
London,2013-05-15,38,38,16.0,49.9,3.9,pm25
New York,2013-05-15,21,21,,,,pm25
Delhi,2013-05-16,313,313,,,,pm25
London,2013-05-16,38,38,16.0,49.9,3.9,pm25
New York,2013-05-16,21,21,,,,pm25
Delhi,2013-05-17,313,313,,,,pm25
London,2013-05-17,38,38,16.0,49.9,3.9,pm25
New York,2013-05-17,21,21,,,,pm25
Delhi,2013-05-18,313,313,,,,pm25
London,2013-05-18,38,38,16.0,49.9,3.9,pm25
New York,2013-05-18,21,21,,,,pm25
Delhi,2013-05-19,313,313,,,,pm25
London,2013-05-19,38,38,16.0,49.9,3.9,pm25
New York,2013-05-19,21,21,,,,pm25
Delhi,2013-05-20,313,313,,,,pm25
London,2013-05-20,38,38,16.0,49.9,3.9,pm25
New York,2013-05-20,21,21,,,,pm25
Delhi,2013-05-21,313,313,,,,pm25
London,2013-05-21,38,38,16.0,49.9,3.9,pm25
New York,2013-05-21,21,21,,,,pm25
Delhi,2013-05-22,313,313,,,,pm25
London,2013-05-22,38,38,16.0,49.9,3.9,pm25
New York,2013-05-22,21,21,,,,pm25
Delhi,2013-05-23,313,313,,,,pm25
London,2013-05-23,38,38,16.0,49.9,3.9,pm25
New York,2013-05-23,21,21,,,,pm25
Delhi,2013-05-24,313,313,,,,pm25
London,2013-05-24,38,38,16.0,49.9,3.9,pm25
New York,2013-05-24,21,21,,,,pm25
Delhi,2013-05-25,313,313,,,,pm25
London,2013-05-25,38,38,16.0,49.9,3.9,pm25
New York,2013-05-25,21,21,,,,pm25
Delhi,2013-05-26,313,313,,,,pm25
London,2013-05-26,38,38,16.0,49.9,3.9,pm25
New York,2013-05-26,21,21,,,,pm25
Delhi,2013-05-27,313,313,,,,pm25
London,2013-05-27,38,38,16.0,49.9,3.9,pm25
New York,2013-05-27,21,21,,,,pm25
Delhi,2013-05-28,313,313,,,,pm25
London,2013-05-28,38,38,16.0,49.9,3.9,pm25
New York,2013-05-28,21,21,,,,pm25
Delhi,2013-05-29,313,313,,,,pm25
London,2013-05-29,38,38,16.0,49.9,3.9,pm25
New York,2013-05-29,21,21,,,,pm25
Delhi,2013-05-30,313,313,,,,pm25
London,2013-05-30,38,38,16.0,49.9,3.9,pm25
New York,2013-05-30,21,21,,,,pm25
Delhi,2013-05-31,313,313,,,,pm25
London,2013-05-31,38,38,16.0,49.9,3.9,pm25
New York,2013-05-31,21,21,,,,pm25
Delhi,2013-06-01,313,313,,,,pm25
London,2013-06-01,38,38,16.0,49.9,3.9,pm25
New York,2013-06-01,21,21,,,,pm25
Delhi,2013-06-02,313,313,,,,pm25
London,2013-06-02,38,38,16.0,49.9,3.9,pm25
New York,2013-06-02,21,21,,,,pm25
Delhi,2013-06-03,313,313,,,,pm25
London,2013-06-03,38,38,16.0,49.9,3.9,pm25
New York,2013-06-03,21,21,,,,pm25
Delhi,2013-06-04,313,313,,,,pm25
London,2013-06-04,38,38,16.0,49.9,3.9,pm25
New York,2013-06-04,21,21,,,,pm25
Delhi,2013-06-05,313,313,,,,pm25
London,2013-06-05,38,38,16.0,49.9,3.9,pm25
New York,2013-06-05,21,21,,,,pm25
Delhi,2013-06-06,313,313,,,,pm25
London,2013-06-06,38,38,16.0,49.9,3.9,pm25
New York,2013-06-06,21,21,,,,pm25
Delhi,2013-06-07,313,313,,,,pm25
London,2013-06-07,38,38,16.0,49.9,3.9,pm25
New York,2013-06-07,21,21,,,,pm25
Delhi,2013-06-08,313,313,,,,pm25
London,2013-06-08,38,38,16.0,49.9,3.9,pm25
New York,2013-06-08,21,21,,,,pm25
Delhi,2013-06-09,313,313,,,,pm25
London,2013-06-09,38,38,16.0,49.9,3.9,pm25
New York,2013-06-09,21,21,,,,pm25
Delhi,2013-06-10,313,313,,,,pm25
London,2013-06-10,38,38,16.0,49.9,3.9,pm25
New York,2013-06-10,21,21,,,,pm25
Delhi,2013-06-11,313,313,,,,pm25
London,2013-06-11,38,38,16.0,49.9,3.9,pm25
New York,2013-06-11,21,21,,,,pm25
Delhi,2013-06-12,313,313,,,,pm25
London,2013-06-12,38,38,16.0,49.9,3.9,pm25
New York,2013-06-12,21,21,,,,pm25
Delhi,2013-06-13,313,313,,,,pm25
London,2013-06-13,38,38,16.0,49.9,3.9,pm25
New York,2013-06-13,21,21,,,,pm25
Delhi,2013-06-14,313,313,,,,pm25
London,2013-06-14,38,38,16.0,49.9,3.9,pm25
New York,2013-06-14,21,21,,,,pm25
Delhi,2013-06-15,313,313,,,,pm25
London,2013-06-15,38,38,16.0,49.9,3.9,pm25
New York,2013-06-15,21,21,,,,pm25
Delhi,2013-06-16,313,313,,,,pm25
London,2013-06-16,38,38,16.0,49.9,3.9,pm25
New York,2013-06-16,21,21,,,,pm25
Delhi,2013-06-17,313,313,,,,pm25
London,2013-06-17,38,38,16.0,49.9,3.9,pm25
New York,2013-06-17,21,21,,,,pm25
Delhi,2013-06-18,313,313,,,,pm25
London,2013-06-18,38,38,16.0,49.9,3.9,pm25
New York,2013-06-18,21,21,,,,pm25
Delhi,2013-06-19,313,313,,,,pm25
London,2013-06-19,38,38,16.0,49.9,3.9,pm25
New York,2013-06-19,21,21,,,,pm25
Delhi,2013-06-20,313,313,,,,pm25
London,2013-06-20,38,38,16.0,49.9,3.9,pm25
New York,2013-06-20,21,21,,,,pm25
Delhi,2013-06-21,313,313,,,,pm25
London,2013-06-21,38,38,16.0,49.9,3.9,pm25
New York,2013-06-21,21,21,,,,pm25
Delhi,2013-06-22,313,313,,,,pm25
London,2013-06-22,38,38,16.0,49.9,3.9,pm25
New York,2013-06-22,21,21,,,,pm25
Delhi,2013-06-23,313,313,,,,pm25
London,2013-06-23,38,38,16.0,49.9,3.9,pm25
New York,2013-06-23,21,21,,,,pm25
Delhi,2013-06-24,313,313,,,,pm25
London,2013-06-24,38,38,16.0,49.9,3.9,pm25
New York,2013-06-24,21,21,,,,pm25
Delhi,2013-06-25,313,313,,,,pm25
London,2013-06-25,38,38,16.0,49.9,3.9,pm25
New York,2013-06-25,21,21,,,,pm25
Delhi,2013-06-26,313,313,,,,pm25
London,2013-06-26,38,38,16.0,49.9,3.9,pm25
New York,2013-06-26,21,21,,,,pm25
Delhi,2013-06-27,313,313,,,,pm25
London,2013-06-27,38,38,16.0,49.9,3.9,pm25
New York,2013-06-27,21,21,,,,pm25
Delhi,2013-06-28,313,313,,,,pm25
London,2013-06-28,38,38,16.0,49.9,3.9,pm25
New York,2013-06-28,21,21,,,,pm25
Delhi,2013-06-29,313,313,,,,pm25
London,2013-06-29,38,38,16.0,49.9,3.9,pm25
New York,2013-06-29,21,21,,,,pm25
Delhi,2013-06-30,313,313,,,,pm25
London,2013-06-30,38,38,16.0,49.9,3.9,pm25
New York,2013-06-30,21,21,,,,pm25
Delhi,2013-07-01,313,313,,,,pm25
London,2013-07-01,38,38,16.0,49.9,3.9,pm25
New York,2013-07-01,21,21,,,,pm25
Delhi,2013-07-02,313,313,,,,pm25
London,2013-07-02,38,38,16.0,49.9,3.9,pm25
New York,2013-07-02,21,21,,,,pm25
Delhi,2013-07-03,313,313,,,,pm25
London,2013-07-03,38,38,16.0,49.9,3.9,pm25
New York,2013-07-03,21,21,,,,pm25
Delhi,2013-07-04,313,313,,,,pm25
London,2013-07-04,38,38,16.0,49.9,3.9,pm25
New York,2013-07-04,21,21,,,,pm25
Delhi,2013-07-05,313,313,,,,pm25
London,2013-07-05,38,38,16.0,49.9,3.9,pm25
New York,2013-07-05,21,21,,,,pm25
Delhi,2013-07-06,313,313,,,,pm25
London,2013-07-06,38,38,16.0,49.9,3.9,pm25
New York,2013-07-06,21,21,,,,pm25
Delhi,2013-07-07,313,313,,,,pm25
London,2013-07-07,38,38,16.0,49.9,3.9,pm25
New York,2013-07-07,21,21,,,,pm25
Delhi,2013-07-08,313,313,,,,pm25
London,2013-07-08,38,38,16.0,49.9,3.9,pm25
New York,2013-07-08,21,21,,,,pm25
Delhi,2013-07-09,313,313,,,,pm25
London,2013-07-09,38,38,16.0,49.9,3.9,pm25
New York,2013-07-09,21,21,,,,pm25
Delhi,2013-07-10,313,313,,,,pm25
London,2013-07-10,38,38,16.0,49.9,3.9,pm25
New York,2013-07-10,21,21,,,,pm25
Delhi,2013-07-11,313,313,,,,pm25
London,2013-07-11,38,38,16.0,49.9,3.9,pm25
New York,2013-07-11,21,21,,,,pm25
Delhi,2013-07-12,313,313,,,,pm25
London,2013-07-12,38,38,16.0,49.9,3.9,pm25
New York,2013-07-12,21,21,,,,pm25
Delhi,2013-07-13,313,313,,,,pm25
London,2013-07-13,38,38,16.0,49.9,3.9,pm25
New York,2013-07-13,21,21,,,,pm25
Delhi,2013-07-14,313,313,,,,pm25
London,2013-07-14,38,38,16.0,49.9,3.9,pm25
New York,2013-07-14,21,21,,,,pm25
Delhi,2013-07-15,313,313,,,,pm25
London,2013-07-15,38,38,16.0,49.9,3.9,pm25
New York,2013-07-15,21,21,,,,pm25
Delhi,2013-07-16,313,313,,,,pm25
London,2013-07-16,38,38,16.0,49.9,3.9,pm25
New York,2013-07-16,21,21,,,,pm25
Delhi,2013-07-17,313,313,,,,pm25
London,2013-07-17,38,38,16.0,49.9,3.9,pm25
New York,2013-07-17,21,21,,,,pm25
Delhi,2013-07-18,313,313,,,,pm25
London,2013-07-18,38,38,16.0,49.9,3.9,pm25
New York,2013-07-18,21,21,,,,pm25
Delhi,2013-07-19,313,313,,,,pm25
London,2013-07-19,38,38,16.0,49.9,3.9,pm25
New York,2013-07-19,21,21,,,,pm25
Delhi,2013-07-20,313,313,,,,pm25
London,2013-07-20,38,38,16.0,49.9,3.9,pm25
New York,2013-07-20,21,21,,,,pm25
Delhi,2013-07-21,313,313,,,,pm25
London,2013-07-21,38,38,16.0,49.9,3.9,pm25
New York,2013-07-21,21,21,,,,pm25
Delhi,2013-07-22,313,313,,,,pm25
London,2013-07-22,38,38,16.0,49.9,3.9,pm25
New York,2013-07-22,21,21,,,,pm25
Delhi,2013-07-23,313,313,,,,pm25
London,2013-07-23,38,38,16.0,49.9,3.9,pm25
New York,2013-07-23,21,21,,,,pm25
Delhi,2013-07-24,313,313,,,,pm25
London,2013-07-24,38,38,16.0,49.9,3.9,pm25
New York,2013-07-24,21,21,,,,pm25
Delhi,2013-07-25,313,313,,,,pm25
London,2013-07-25,38,38,16.0,49.9,3.9,pm25
New York,2013-07-25,21,21,,,,pm25
Delhi,2013-07-26,313,313,,,,pm25
London,2013-07-26,38,38,16.0,49.9,3.9,pm25
New York,2013-07-26,21,21,,,,pm25
Delhi,2013-07-27,313,313,,,,pm25
London,2013-07-27,38,38,16.0,49.9,3.9,pm25
New York,2013-07-27,21,21,,,,pm25
Delhi,2013-07-28,313,313,,,,pm25
London,2013-07-28,38,38,16.0,49.9,3.9,pm25
New York,2013-07-28,21,21,,,,pm25
Delhi,2013-07-29,313,313,,,,pm25
London,2013-07-29,38,38,16.0,49.9,3.9,pm25
New York,2013-07-29,21,21,,,,pm25
Delhi,2013-07-30,313,313,,,,pm25
London,2013-07-30,38,38,16.0,49.9,3.9,pm25
New York,2013-07-30,21,21,,,,pm25
Delhi,2013-07-31,313,313,,,,pm25
London,2013-07-31,38,38,16.0,49.9,3.9,pm25
New York,2013-07-31,21,21,,,,pm25
Delhi,2013-08-01,313,313,,,,pm25
London,2013-08-01,38,38,16.0,49.9,3.9,pm25
New York,2013-08-01,21,21,,,,pm25
Delhi,2013-08-02,313,313,,,,pm25
London,2013-08-02,38,38,16.0,49.9,3.9,pm25
New York,2013-08-02,21,21,,,,pm25
Delhi,2013-08-03,313,313,,,,pm25
London,2013-08-03,38,38,16.0,49.9,3.9,pm25
New York,2013-08-03,21,21,,,,pm25
Delhi,2013-08-04,313,313,,,,pm25
London,2013-08-04,38,38,16.0,49.9,3.9,pm25
New York,2013-08-04,21,21,,,,pm25
Delhi,2013-08-05,313,313,,,,pm25
London,2013-08-05,38,38,16.0,49.9,3.9,pm25
New York,2013-08-05,21,21,,,,pm25
Delhi,2013-08-06,313,313,,,,pm25
London,2013-08-06,38,38,16.0,49.9,3.9,pm25
New York,2013-08-06,21,21,,,,pm25
Delhi,2013-08-07,313,313,,,,pm25
London,2013-08-07,38,38,16.0,49.9,3.9,pm25
New York,2013-08-07,21,21,,,,pm25
Delhi,2013-08-08,313,313,,,,pm25
London,2013-08-08,38,38,16.0,49.9,3.9,pm25
New York,2013-08-08,21,21,,,,pm25
Delhi,2013-08-09,313,313,,,,pm25
London,2013-08-09,38,38,16.0,49.9,3.9,pm25
New York,2013-08-09,21,21,,,,pm25
Delhi,2013-08-10,313,313,,,,pm25
London,2013-08-10,38,38,16.0,49.9,3.9,pm25
New York,2013-08-10,21,21,,,,pm25
Delhi,2013-08-11,313,313,,,,pm25
London,2013-08-11,38,38,16.0,49.9,3.9,pm25
New York,2013-08-11,21,21,,,,pm25
Delhi,2013-08-12,313,313,,,,pm25
London,2013-08-12,38,38,16.0,49.9,3.9,pm25
New York,2013-08-12,21,21,,,,pm25
Delhi,2013-08-13,313,313,,,,pm25
London,2013-08-13,38,38,16.0,49.9,3.9,pm25
New York,2013-08-13,21,21,,,,pm25
Delhi,2013-08-14,313,313,,,,pm25
London,2013-08-14,38,38,16.0,49.9,3.9,pm25
New York,2013-08-14,21,21,,,,pm25
Delhi,2013-08-15,313,313,,,,pm25
London,2013-08-15,38,38,16.0,49.9,3.9,pm25
New York,2013-08-15,21,21,,,,pm25
Delhi,2013-08-16,313,313,,,,pm25
London,2013-08-16,38,38,16.0,49.9,3.9,pm25
New York,2013-08-16,21,21,,,,pm25
Delhi,2013-08-17,313,313,,,,pm25
London,2013-08-17,38,38,16.0,49.9,3.9,pm25
New York,2013-08-17,21,21,,,,pm25
Delhi,2013-08-18,313,313,,,,pm25
London,2013-08-18,38,38,16.0,49.9,3.9,pm25
New York,2013-08-18,21,21,,,,pm25
Delhi,2013-08-19,313,313,,,,pm25
London,2013-08-19,38,38,16.0,49.9,3.9,pm25
New York,2013-08-19,21,21,,,,pm25
Delhi,2013-08-20,313,313,,,,pm25
