city,date,aqi,pm2_5,pm10,no2,co,dominant_pollutant
London,2010-01-11,38,38,16.0,33.0,4.4,pm25
New York,2010-01-11,33,33,,,,pm25
Delhi,2010-01-12,313,313,,,,pm25
London,2010-01-12,38,38,16.0,33.0,4.4,pm25
New York,2010-01-12,33,33,,,,pm25
Delhi,2010-01-13,313,313,,,,pm25
London,2010-01-13,38,38,16.0,33.0,4.4,pm25
New York,2010-01-13,33,33,,,,pm25
Delhi,2010-01-14,313,313,,,,pm25
London,2010-01-14,38,38,16.0,33.0,4.4,pm25
New York,2010-01-14,33,33,,,,pm25
Delhi,2010-01-15,313,313,,,,pm25
London,2010-01-15,38,38,16.0,33.0,4.4,pm25
New York,2010-01-15,33,33,,,,pm25
Delhi,2010-01-16,313,313,,,,pm25
London,2010-01-16,38,38,16.0,33.0,4.4,pm25
New York,2010-01-16,33,33,,,,pm25
Delhi,2010-01-17,313,313,,,,pm25
London,2010-01-17,38,38,16.0,33.0,4.4,pm25
New York,2010-01-17,33,33,,,,pm25
Delhi,2010-01-18,313,313,,,,pm25
London,2010-01-18,38,38,16.0,33.0,4.4,pm25
New York,2010-01-18,33,33,,,,pm25
Delhi,2010-01-19,313,313,,,,pm25
London,2010-01-19,38,38,16.0,33.0,4.4,pm25
New York,2010-01-19,33,33,,,,pm25
Delhi,2010-01-20,313,313,,,,pm25
London,2010-01-20,38,38,16.0,33.0,4.4,pm25
New York,2010-01-20,33,33,,,,pm25
Delhi,2010-01-21,313,313,,,,pm25
London,2010-01-21,38,38,16.0,33.0,4.4,pm25
New York,2010-01-21,33,33,,,,pm25
Delhi,2010-01-22,313,313,,,,pm25
London,2010-01-22,38,38,16.0,33.0,4.4,pm25
New York,2010-01-22,33,33,,,,pm25
Delhi,2010-01-23,313,313,,,,pm25
London,2010-01-23,38,38,16.0,33.0,4.4,pm25
New York,2010-01-23,33,33,,,,pm25
Delhi,2010-01-24,313,313,,,,pm25
London,2010-01-24,38,38,16.0,33.0,4.4,pm25
New York,2010-01-24,33,33,,,,pm25
Delhi,2010-01-25,313,313,,,,pm25
London,2010-01-25,38,38,16.0,33.0,4.4,pm25
New York,2010-01-25,33,33,,,,pm25
Delhi,2010-01-26,313,313,,,,pm25
London,2010-01-26,38,38,16.0,33.0,4.4,pm25
New York,2010-01-26,33,33,,,,pm25
Delhi,2010-01-27,313,313,,,,pm25
London,2010-01-27,38,38,16.0,33.0,4.4,pm25
New York,2010-01-27,33,33,,,,pm25
Delhi,2010-01-28,313,313,,,,pm25
London,2010-01-28,38,38,16.0,33.0,4.4,pm25
New York,2010-01-28,33,33,,,,pm25
Delhi,2010-01-29,313,313,,,,pm25
London,2010-01-29,38,38,16.0,33.0,4.4,pm25
New York,2010-01-29,33,33,,,,pm25
Delhi,2010-01-30,313,313,,,,pm25
London,2010-01-30,38,38,16.0,33.0,4.4,pm25
New York,2010-01-30,33,33,,,,pm25
Delhi,2010-01-31,313,313,,,,pm25
London,2010-01-31,38,38,16.0,33.0,4.4,pm25
New York,2010-01-31,33,33,,,,pm25
Delhi,2010-02-01,313,313,,,,pm25
London,2010-02-01,38,38,16.0,33.0,4.4,pm25
New York,2010-02-01,33,33,,,,pm25
Delhi,2010-02-02,313,313,,,,pm25
London,2010-02-02,38,38,16.0,33.0,4.4,pm25
New York,2010-02-02,33,33,,,,pm25
Delhi,2010-02-03,313,313,,,,pm25
London,2010-02-03,38,38,16.0,33.0,4.4,pm25
New York,2010-02-03,33,33,,,,pm25
Delhi,2010-02-04,313,313,,,,pm25
London,2010-02-04,38,38,16.0,33.0,4.4,pm25
New York,2010-02-04,33,33,,,,pm25
Delhi,2010-02-05,313,313,,,,pm25
London,2010-02-05,38,38,16.0,33.0,4.4,pm25
New York,2010-02-05,33,33,,,,pm25
Delhi,2010-02-06,313,313,,,,pm25
London,2010-02-06,38,38,16.0,33.0,4.4,pm25
New York,2010-02-06,33,33,,,,pm25
Delhi,2010-02-07,313,313,,,,pm25
London,2010-02-07,38,38,16.0,33.0,4.4,pm25
New York,2010-02-07,33,33,,,,pm25
Delhi,2010-02-08,313,313,,,,pm25
London,2010-02-08,38,38,16.0,33.0,4.4,pm25
New York,2010-02-08,33,33,,,,pm25
Delhi,2010-02-09,313,313,,,,pm25
London,2010-02-09,38,38,16.0,33.0,4.4,pm25
New York,2010-02-09,33,33,,,,pm25
Delhi,2010-02-10,313,313,,,,pm25
London,2010-02-10,38,38,16.0,33.0,4.4,pm25
New York,2010-02-10,33,33,,,,pm25
Delhi,2010-02-11,313,313,,,,pm25
London,2010-02-11,38,38,16.0,33.0,4.4,pm25
New York,2010-02-11,33,33,,,,pm25
Delhi,2010-02-12,313,313,,,,pm25
London,2010-02-12,38,38,16.0,33.0,4.4,pm25
New York,2010-02-12,33,33,,,,pm25
Delhi,2010-02-13,313,313,,,,pm25
London,2010-02-13,38,38,16.0,33.0,4.4,pm25
New York,2010-02-13,33,33,,,,pm25
Delhi,2010-02-14,313,313,,,,pm25
London,2010-02-14,38,38,16.0,33.0,4.4,pm25
New York,2010-02-14,33,33,,,,pm25
Delhi,2010-02-15,313,313,,,,pm25
London,2010-02-15,38,38,16.0,33.0,4.4,pm25
New York,2010-02-15,33,33,,,,pm25
Delhi,2010-02-16,313,313,,,,pm25
London,2010-02-16,38,38,16.0,33.0,4.4,pm25
New York,2010-02-16,33,33,,,,pm25
Delhi,2010-02-17,313,313,,,,pm25
London,2010-02-17,38,38,16.0,33.0,4.4,pm25
New York,2010-02-17,33,33,,,,pm25
Delhi,2010-02-18,313,313,,,,pm25
London,2010-02-18,38,38,16.0,33.0,4.4,pm25
New York,2010-02-18,33,33,,,,pm25
Delhi,2010-02-19,313,313,,,,pm25
London,2010-02-19,38,38,16.0,33.0,4.4,pm25
New York,2010-02-19,33,33,,,,pm25
Delhi,2010-02-20,313,313,,,,pm25
London,2010-02-20,38,38,16.0,33.0,4.4,pm25
New York,2010-02-20,33,33,,,,pm25
Delhi,2010-02-21,313,313,,,,pm25
London,2010-02-21,38,38,16.0,33.0,4.4,pm25
New York,2010-02-21,33,33,,,,pm25
Delhi,2010-02-22,313,313,,,,pm25
London,2010-02-22,38,38,16.0,33.0,4.4,pm25
New York,2010-02-22,33,33,,,,pm25
Delhi,2010-02-23,313,313,,,,pm25
London,2010-02-23,38,38,16.0,33.0,4.4,pm25
New York,2010-02-23,33,33,,,,pm25
Delhi,2010-02-24,313,313,,,,pm25
London,2010-02-24,38,38,16.0,33.0,4.4,pm25
New York,2010-02-24,33,33,,,,pm25
Delhi,2010-02-25,313,313,,,,pm25
London,2010-02-25,38,38,16.0,33.0,4.4,pm25
New York,2010-02-25,33,33,,,,pm25
Delhi,2010-02-26,313,313,,,,pm25
London,2010-02-26,38,38,16.0,33.0,4.4,pm25
New York,2010-02-26,33,33,,,,pm25
Delhi,2010-02-27,313,313,,,,pm25
London,2010-02-27,38,38,16.0,33.0,4.4,pm25
New York,2010-02-27,33,33,,,,pm25
Delhi,2010-02-28,313,313,,,,pm25
London,2010-02-28,38,38,16.0,33.0,4.4,pm25
New York,2010-02-28,33,33,,,,pm25
Delhi,2010-03-01,313,313,,,,pm25
London,2010-03-01,38,38,16.0,33.0,4.4,pm25
New York,2010-03-01,33,33,,,,pm25
Delhi,2010-03-02,313,313,,,,pm25
